Origin AT BE BG CH CY CZ DE DK EE ES FI FR GR HU IE IS
AT 0 230 1269 1363 26 1198 10730 197 29 691 189 722 397 2727 133 28
BE 268 0 357 1391 57 235 3305 440 78 2666 241 22840 1303 349 440 23
BG 2192 1363 0 496 1549 3489 14720 321 21 13950 140 2086 8812 134 181 13
CH 1053 1109 112 0 42 257 8570 452 26 3123 277 6948 788 333 214 25
CY 26 27 558 15 0 33 240 21 5 31 35 89 2357 92 33 1
CZ 1379 398 2600 438 133 0 6635 240 31 778 90 1947 328 214 569 41
DE 17170 4019 10570 19690 285 6908 0 3495 605 13330 1559 16560 14570 15780 2092 245
DK 172 366 97 496 21 206 2364 0 119 998 496 1146 144 194 230 1161
EE 49 108 14 42 18 30 577 183 0 142 3769 180 14 15 284 25
ES 748 4680 3737 6285 62 317 12140 1426 91 0 870 15730 469 496 2324 62
FI 180 294 26 421 35 67 1295 302 1084 753 0 462 94 151 241 40
FR 873 25480 692 8760 203 1100 14480 1291 119 10700 468 0 2513 1404 2585 56
GR 367 1366 2737 907 4594 171 7565 207 12 482 115 2372 0 355 143 3
HU 4164 695 84 834 202 197 17200 345 24 889 276 2571 597 0 908 21
IE 138 508 93 233 62 156 1517 264 81 1462 212 2248 160 176 0 9
IS 29 24 5 25 1 21 209 1189 15 120 64 65 4 7 10 0
IT 1717 5216 1464 19310 60 683 17630 828 103 9190 373 14580 1207 972 1262 62
LI 43 5 1 175 0 1 55 9 0 15 1 33 7 2 1 0
LT 174 198 62 124 30 138 3097 1027 147 1684 126 583 77 18 3690 198
LU 75 3969 16 342 3 15 2124 159 15 124 69 5032 59 39 85 29
LV 87 74 24 90 50 37 1619 436 369 342 140 348 22 13 1058 64
MT 17 38 14 33 34 9 117 33 1 27 10 182 31 7 52 3
NL 835 15110 398 1736 83 554 12560 721 52 4461 370 4984 875 708 813 80
NO 74 107 32 132 23 43 780 2180 49 741 827 314 50 39 54 309
PL 4905 4329 327 2282 496 3297 110200 3441 50 7100 442 12640 2954 399 10650 1344
PT 302 1567 250 2926 14 67 4908 185 36 10570 86 28950 207 93 395 60
RO 7550 1593 70 3517 1008 2431 31000 688 20 64970 183 10750 2647 17310 811 30
SE 357 533 95 810 113 169 2396 3448 231 1569 4386 1396 689 272 361 435
SI 663 134 21 498 6 56 1267 50 2 144 16 265 26 43 44 9
SK 3772 206 134 1231 127 26990 7527 204 9 666 51 814 105 930 398 34
UK 1236 5900 589 9094 5358 1952 10800 2957 152 27860 1318 55660 12200 3831 18690 132
RW 36550 30930 5019 27090 7378 53300 190900 17650 2848 309100 12670 219800 23830 20640 24670 1020
Total 87909 127614 33249 125166 22999 107058 501152 44819 6540 488932 30054 493007 85927 73598 80530 5683
