Origin IT LI LT LU LV MT NL NO PL PT RO SE SI SK UK ROW Total
AT 1261 66 128 62 55 12 574 129 3623 233 4857 448 599 2570 1200 26620 62955
BE 2499 7 92 4173 49 21 6307 203 1887 982 685 569 114 210 6365 19630 87659
BG 6179 2 63 42 49 24 1843 244 664 526 131 642 45 484 4988 5376 73492
CH 9218 236 51 197 40 17 791 186 1026 1522 1166 692 400 704 7486 38480 94431
CY 52 0 10 2 15 9 65 18 132 4 487 110 3 48 2853 6090 13924
CZ 1233 1 87 30 58 10 726 145 1915 97 2580 347 65 27010 6509 62870 121105
DE 23380 80 2380 1618 1408 118 9514 2731 104900 6401 27240 4172 1783 8574 15510 184100 525151
DK 614 7 609 120 282 26 534 1918 1504 126 234 6573 35 145 3079 15080 39412
EE 163 0 85 25 312 1 110 327 36 34 12 586 2 15 1166 3392 11940
ES 5015 45 657 237 90 22 3754 743 2756 7162 17560 1862 66 322 29270 72850 198932
FI 291 1 40 86 54 9 374 463 156 49 38 3497 8 26 1572 3899 16142
FR 8321 36 229 6032 159 103 3500 634 6209 18530 4978 1567 174 823 49770 121600 342130
GR 995 9 35 35 17 26 1166 101 1384 160 1610 907 18 110 10360 15970 60274
HU 1586 3 14 53 20 8 1180 176 344 145 10540 857 55 1865 9035 18310 80296
IE 772 2 617 66 191 37 601 88 1477 323 536 431 12 101 18040 25780 62175
IS 69 0 56 30 28 4 91 258 526 42 13 684 10 40 212 898 4825
IT 0 49 188 635 115 246 2163 292 5484 841 14540 998 676 739 15210 39070 161449
LI 18 0 0 0 1 0 2 1 7 7 1 1 3 4 1 131 622
LT 675 0 0 28 868 2 385 1334 574 130 19 882 5 23 4351 8896 30643
LU 434 0 14 0 9 5 179 20 96 1935 76 123 22 21 405 887 17193
LV 312 1 642 16 0 3 182 347 128 30 26 445 3 20 1066 4851 13188
MT 247 0 2 7 2 0 57 12 11 20 17 51 3 14 1962 707 4171
NL 1771 2 107 290 57 56 0 938 2747 1201 603 1458 77 307 10570 59870 125461
NO 119 1 97 21 50 6 359 0 391 45 63 5998 5 79 1195 5015 19286
PL 16240 11 354 292 165 23 9012 5788 0 264 186 6238 29 1009 83020 39150 334426
PT 862 15 63 2978 28 22 1842 146 177 0 491 257 13 55 8535 13820 91509
RO 72060 3 16 177 35 14 1470 515 248 666 0 1587 20 1905 3062 22540 259497
SE 604 1 119 181 120 81 753 4706 887 141 223 0 42 70 5281 16780 47594
SI 675 7 4 32 4 2 134 24 27 14 11 80 0 71 90 5545 10125
SK 1399 5 13 34 21 8 670 340 408 39 297 198 53 0 5167 7717 61347
UK 9577 1 810 282 286 1008 6272 1640 12370 5548 918 4537 47 797 0 260500 478374
RW 198300 115 5023 565 1515 850 51880 19890 20020 23900 41890 53760 19580 12200 383000 0 2035952
Total 375368 865 12890 18947 6276 3170 107417 44773 174902 86227 143217 100717 24060 61629 714663 1215725 0
